"ZIP","NAME","EMPFLAG","EMP","QP1","AP","EST"
"00501","HOLTSVILLE, NY","A",0,0,0,1
"01001","AGAWAM, MA",,8042,59833,259661,493
"01002","AMHERST, MA",,6547,36719,169658,563
"01003","AMHERST, MA",,82,308,2482,13
"01004","AMHERST, MA",,717,2049,5826,48
"01005","BARRE, MA",,764,4470,20413,86
"01007","BELCHERTOWN, MA",,1406,7305,31639,219
"01008","BLANDFORD, MA",,221,875,3660,21
"01009","BONDSVILLE, MA",,154,1238,6515,17
"01010","BRIMFIELD, MA",,404,2180,9691,73
"01011","CHESTER, MA",,44,223,1010,17
"01012","CHESTERFIELD, MA",,67,401,1878,15
"01013","CHICOPEE, MA",,5877,43509,187199,412
"01014","CHICOPEE, MA",,179,858,3234,9
"01020","CHICOPEE, MA",,8667,57539,245344,568
"01021","CHICOPEE, MA",,328,2129,8397,19
"01022","CHICOPEE, MA",,2693,24395,112501,51
"01026","CUMMINGTON, MA",,172,855,4014,19
"01027","EASTHAMPTON, MA",,4545,27436,115366,368
"01028","EAST LONGMEADOW, MA",,8420,64624,266032,486
"01029","EAST OTIS, MA",,65,405,2465,18
"01030","FEEDING HILLS, MA",,1171,4995,22645,206
"01031","GILBERTVILLE, MA",,55,186,787,18
"01032","GOSHEN, MA",,63,386,1763,13
"01033","GRANBY, MA",,682,4081,16506,111
"01034","GRANVILLE, MA",,87,369,1932,25
"01035","HADLEY, MA",,3817,18943,79177,267
"01036","HAMPDEN, MA",,451,2286,14299,105
"01037","HARDWICK, MA",,189,984,4498,15
"01038","HATFIELD, MA",,735,5275,23569,63
"01039","HAYDENVILLE, MA",,212,1288,5746,36
"01040","HOLYOKE, MA",,20986,140827,566142,1121
"01041","HOLYOKE, MA",,1318,5886,24671,82
"01050","HUNTINGTON, MA",,125,486,2527,29
"01053","LEEDS, MA",,425,2618,10861,30
"01054","LEVERETT, MA",,76,264,1766,30
"01056","LUDLOW, MA",,3965,27814,130526,422
"01057","MONSON, MA",,1159,6673,28521,165
"01059","NORTH AMHERST, MA",,166,993,4402,16
"01060","NORTHAMPTON, MA",,12260,80442,327167,840
"01061","NORTHAMPTON, MA",,282,1803,6202,35
"01062","FLORENCE, MA",,1114,6138,28159,148
"01063","NORTHAMPTON, MA","H",0,0,0,4
"01066","NORTH HATFIELD, MA","F",0,0,0,10
"01068","OAKHAM, MA",,75,416,1813,21
"01069","PALMER, MA",,3847,24847,106146,289
"01070","PLAINFIELD, MA",,18,169,810,10
"01071","RUSSELL, MA",,171,1761,7544,22
"01072","SHUTESBURY, MA",,49,177,947,21
"01073","SOUTHAMPTON, MA",,858,4075,17175,116
"01074","SOUTH BARRE, MA",,78,418,1866,11
"01075","SOUTH HADLEY, MA",,5011,32804,132470,307
"01077","SOUTHWICK, MA",,2061,11531,51104,207
"01079","THORNDIKE, MA",,241,1968,8049,14
"01080","THREE RIVERS, MA",,225,1214,5348,53
"01081","WALES, MA",,58,294,1326,20
"01082","WARE, MA",,2469,14643,62244,201
"01083","WARREN, MA",,373,2725,11542,47
"01084","WEST CHESTERFIELD, MA","A",0,0,0,2
"01085","WESTFIELD, MA",,12082,83036,354201,864
"01086","WESTFIELD, MA",,1406,7816,35099,67
"01088","WEST HATFIELD, MA",,323,2396,11497,18
"01089","WEST SPRINGFIELD, MA",,17857,114316,482428,1079
"01090","WEST SPRINGFIELD, MA",,328,3182,13884,25
"01092","WEST WARREN, MA",,647,4959,20908,19
"01093","WHATELY, MA",,3021,17993,78557,34
"01094","WHEELWRIGHT, MA",,36,216,1015,7
"01095","WILBRAHAM, MA",,3355,25593,102836,300
"01096","WILLIAMSBURG, MA",,323,1097,4703,49
"01097","WORONOCO, MA",,21,61,250,3
"01098","WORTHINGTON, MA",,136,799,4434,29
"01101","SPRINGFIELD, MA",,1379,8578,38496,80
"01102","SPRINGFIELD, MA",,3028,25146,105338,19
"01103","SPRINGFIELD, MA",,8812,69914,286387,692
"01104","SPRINGFIELD, MA",,13710,100746,434771,677
"01105","SPRINGFIELD, MA",,5706,37750,158168,432
"01106","LONGMEADOW, MA",,2590,12870,57233,228
"01107","SPRINGFIELD, MA",,8387,66218,280502,308
"01108","SPRINGFIELD, MA",,2931,13994,60813,367
"01109","SPRINGFIELD, MA",,11605,109824,386054,562
"01111","SPRINGFIELD, MA",,131,6027,11140,6
"01114","SPRINGFIELD, MA","C",0,0,0,2
"01115","SPRINGFIELD, MA",,692,9111,36983,69
"01116","LONGMEADOW, MA",,20,88,371,5
"01118","SPRINGFIELD, MA",,1819,10581,49488,170
"01119","SPRINGFIELD, MA",,3687,17116,72100,166
"01128","SPRINGFIELD, MA",,620,2279,9789,42
"01129","SPRINGFIELD, MA",,3341,14353,58332,214
"01133","SPRINGFIELD, MA","C",0,0,0,1
"01138","SPRINGFIELD, MA",,37,233,1089,13
"01139","SPRINGFIELD, MA","F",0,0,0,10
"01144","SPRINGFIELD, MA",,1395,17054,60439,61
"01151","INDIAN ORCHARD, MA",,1986,20689,83852,183
"01199","SPRINGFIELD, MA","G",0,0,0,5
"01201","PITTSFIELD, MA",,25075,194076,797465,1459
"01202","PITTSFIELD, MA",,623,3869,17493,72
"01203","PITTSFIELD, MA","A",0,0,0,1
"01220","ADAMS, MA",,1967,12983,56953,183
"01222","ASHLEY FALLS, MA",,67,446,1958,14
"01223","BECKET, MA",,287,1289,7567,40
"01224","BERKSHIRE, MA","B",0,0,0,3
"01225","CHESHIRE, MA",,308,1630,6986,49
"01226","DALTON, MA",,2065,16778,67042,125
"01227","DALTON, MA",,77,386,2174,19
"01229","GLENDALE, MA",,18,72,346,5
"01230","GREAT BARRINGTON, MA",,4369,23647,96131,418
"01235","HINSDALE, MA",,345,1271,6033,41
"01236","HOUSATONIC, MA",,1657,13645,45312,57
"01237","LANESBORO, MA",,2274,7102,29623,165
"01238","LEE, MA",,2970,21669,89538,310
"01240","LENOX, MA",,3167,16973,79455,237
"01242","LENOX DALE, MA",,88,506,2480,18
"01243","MIDDLEFIELD, MA",,76,323,1279,9
"01244","MILL RIVER, MA",,26,109,451,6
