"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est"
"00501","HOLTSVILLE, NY","B","D",0,"D",0,"D",0,5
"01001","AGAWAM, MA",,"G",9663,"G",78154,"G",333829,503
"01002","AMHERST, MA",,"G",12635,"G",73904,"G",311951,596
"01003","AMHERST, MA",,"H",141,"H",1063,"H",4377,16
"01004","AMHERST, MA","C","S",0,"H",1254,"H",5141,20
"01005","BARRE, MA",,"G",883,"G",6024,"G",25736,106
"01007","BELCHERTOWN, MA",,"G",1719,"G",10146,"G",43243,243
"01008","BLANDFORD, MA",,"H",307,"G",556,"G",1992,18
"01009","BONDSVILLE, MA",,"G",132,"G",1085,"G",5528,18
"01010","BRIMFIELD, MA",,"G",437,"G",3351,"G",14589,74
"01011","CHESTER, MA",,"G",42,"G",327,"G",1527,17
"01012","CHESTERFIELD, MA",,"H",76,"G",428,"G",1901,14
"01013","CHICOPEE, MA",,"G",5311,"G",42157,"G",177542,358
"01014","CHICOPEE, MA",,"G",10,"G",98,"G",396,3
"01020","CHICOPEE, MA",,"G",7994,"G",63604,"G",273386,553
"01021","CHICOPEE, MA",,"G",265,"G",1387,"G",6228,10
"01022","CHICOPEE, MA",,"G",2888,"G",34138,"G",129768,67
"01026","CUMMINGTON, MA","E","S",0,"H",1247,"H",5278,20
"01027","EASTHAMPTON, MA",,"G",4447,"G",33340,"G",134462,388
"01028","EAST LONGMEADOW, MA",,"G",8595,"G",86038,"G",339720,512
"01029","EAST OTIS, MA",,"G",163,"H",838,"H",4515,21
"01030","FEEDING HILLS, MA",,"G",979,"G",5489,"G",24244,194
"01031","GILBERTVILLE, MA",,"G",64,"G",369,"G",1938,19
"01032","GOSHEN, MA",,"G",124,"G",768,"G",3951,22
"01033","GRANBY, MA",,"G",619,"G",4598,"G",20768,121
"01034","GRANVILLE, MA",,"G",82,"G",544,"G",2758,31
"01035","HADLEY, MA",,"G",4497,"G",24531,"G",115599,302
"01036","HAMPDEN, MA",,"G",669,"G",4291,"G",22888,125
"01037","HARDWICK, MA","C","D",0,"D",0,"D",0,16
"01038","HATFIELD, MA",,"H",1657,"H",15927,"H",66770,61
"01039","HAYDENVILLE, MA",,"H",274,"H",1979,"H",8554,38
"01040","HOLYOKE, MA",,"G",18110,"G",149351,"G",589582,961
"01041","HOLYOKE, MA",,"G",946,"G",5736,"G",22882,45
"01050","HUNTINGTON, MA",,"G",177,"G",823,"G",3480,38
"01053","LEEDS, MA",,"H",1066,"H",12195,"H",49518,34
"01054","LEVERETT, MA",,"G",178,"G",943,"G",4452,39
"01056","LUDLOW, MA",,"G",4090,"G",34360,"G",164118,434
"01057","MONSON, MA",,"G",952,"G",7849,"G",34180,172
"01059","NORTH AMHERST, MA",,"G",183,"G",1173,"G",5223,13
"01060","NORTHAMPTON, MA",,"G",11279,"G",94019,"G",393056,779
"01061","NORTHAMPTON, MA",,"G",108,"G",937,"H",4147,17
"01062","FLORENCE, MA",,"G",1784,"G",12579,"G",52879,205
"01063","NORTHAMPTON, MA","H","D",0,"D",0,"D",0,2
"01066","NORTH HATFIELD, MA","C","D",0,"D",0,"D",0,8
"01068","OAKHAM, MA",,"G",106,"G",947,"G",4595,25
"01069","PALMER, MA",,"G",3589,"G",30441,"G",125586,294
"01070","PLAINFIELD, MA","A","S",0,"S",0,"H",484,8
"01071","RUSSELL, MA",,"G",92,"G",970,"G",4468,20
"01072","SHUTESBURY, MA",,"H",74,"G",295,"G",1420,20
"01073","SOUTHAMPTON, MA",,"H",1010,"H",6112,"H",27917,125
"01074","SOUTH BARRE, MA",,"G",110,"G",604,"G",2826,14
"01075","SOUTH HADLEY, MA",,"G",4966,"G",31789,"G",135318,295
"01077","SOUTHWICK, MA",,"G",2131,"G",14108,"G",63254,237
"01079","THORNDIKE, MA",,"G",45,"G",379,"G",1963,12
"01080","THREE RIVERS, MA",,"G",387,"G",2283,"G",10045,50
"01081","WALES, MA",,"G",66,"G",429,"G",1893,15
"01082","WARE, MA",,"G",2377,"G",19504,"G",79298,196
"01083","WARREN, MA","E","S",0,"H",3479,"H",14754,49
"01084","WEST CHESTERFIELD, MA","A","D",0,"D",0,"D",0,1
"01085","WESTFIELD, MA",,"H",13324,"G",113507,"G",479424,881
"01086","WESTFIELD, MA","F","D",0,"D",0,"D",0,31
"01088","WEST HATFIELD, MA",,"H",167,"H",1572,"H",6439,25
"01089","WEST SPRINGFIELD, MA",,"G",16021,"G",127505,"G",542879,999
"01090","WEST SPRINGFIELD, MA","C","S",0,"G",1848,"H",8594,22
"01092","WEST WARREN, MA",,"G",60,"H",672,"G",2093,17
"01093","WHATELY, MA",,"G",1199,"G",16687,"G",41390,36
"01094","WHEELWRIGHT, MA","B","D",0,"D",0,"D",0,3
"01095","WILBRAHAM, MA",,"H",3501,"H",30638,"H",126640,311
"01096","WILLIAMSBURG, MA",,"G",322,"G",1574,"G",7479,44
"01098","WORTHINGTON, MA",,"G",138,"G",927,"G",4217,29
"01101","SPRINGFIELD, MA",,"H",1669,"H",12860,"H",51327,49
"01102","SPRINGFIELD, MA",,"H",2906,"H",36622,"H",150514,22
"01103","SPRINGFIELD, MA",,"G",7208,"G",63335,"G",279304,586
"01104","SPRINGFIELD, MA",,"G",14845,"G",162588,"G",692337,565
"01105","SPRINGFIELD, MA",,"G",5082,"G",41650,"G",170864,292
"01106","LONGMEADOW, MA",,"H",2908,"H",18803,"H",81494,249
"01107","SPRINGFIELD, MA",,"G",1935,"H",23940,"H",114157,145
"01108","SPRINGFIELD, MA",,"G",2656,"G",14925,"G",62755,273
"01109","SPRINGFIELD, MA",,"H",8006,"G",46821,"G",198770,313
"01111","SPRINGFIELD, MA","H","D",0,"D",0,"D",0,8
"01114","SPRINGFIELD, MA","C","D",0,"D",0,"D",0,1
"01115","SPRINGFIELD, MA",,"G",1014,"G",52360,"G",118632,68
"01116","LONGMEADOW, MA",,"G",5,"H",41,"H",198,4
"01118","SPRINGFIELD, MA",,"G",1660,"G",11112,"G",47620,154
"01119","SPRINGFIELD, MA",,"G",3420,"G",21198,"G",83909,148
"01128","SPRINGFIELD, MA",,"H",805,"G",3517,"G",14052,41
"01129","SPRINGFIELD, MA",,"G",3160,"G",15764,"G",63947,203
"01138","SPRINGFIELD, MA",,"H",27,"G",108,"G",590,6
"01139","SPRINGFIELD, MA","C","D",0,"D",0,"D",0,4
"01144","SPRINGFIELD, MA",,"G",1160,"G",18360,"G",66727,40
"01151","INDIAN ORCHARD, MA",,"G",1668,"G",21307,"G",80490,142
"01195","SPRINGFIELD, MA","C","D",0,"D",0,"D",0,1
"01199","SPRINGFIELD, MA","I","D",0,"D",0,"D",0,3
"01201","PITTSFIELD, MA",,"G",23778,"G",223218,"G",964059,1362
"01202","PITTSFIELD, MA",,"G",375,"G",3264,"G",16128,37
"01203","PITTSFIELD, MA","A","D",0,"D",0,"D",0,1
"01220","ADAMS, MA",,"G",1678,"G",12755,"G",54149,174
"01222","ASHLEY FALLS, MA",,"G",64,"G",378,"G",1925,17
"01223","BECKET, MA",,"G",244,"G",1642,"G",9779,47
"01224","BERKSHIRE, MA","B","D",0,"D",0,"D",0,5
"01225","CHESHIRE, MA",,"H",326,"H",2357,"H",11497,58
"01226","DALTON, MA",,"G",1999,"G",21674,"G",76364,139
"01227","DALTON, MA",,"G",71,"G",315,"G",1920,11
"01229","GLENDALE, MA","A","D",0,"D",0,"D",0,5
"01230","GREAT BARRINGTON, MA",,"G",4935,"G",36096,"G",159432,459
"01235","HINSDALE, MA",,"G",217,"G",1422,"G",6720,53
"01236","HOUSATONIC, MA",,"H",435,"H",4571,"H",15568,41
"01237","LANESBORO, MA",,"G",2447,"H",11579,"G",44438,164
"01238","LEE, MA",,"G",3174,"G",25949,"G",108234,317
"01240","LENOX, MA",,"G",3817,"G",24234,"G",109186,253
"01242","LENOX DALE, MA",,"H",121,"G",771,"G",3282,19
"01243","MIDDLEFIELD, MA",,"G",35,"G",248,"G",827,8
"01244","MILL RIVER, MA",,"G",9,"H",92,"G",536,7
"01245","MONTEREY, MA",,"G",125,"G",1013,"G",4961,29
"01247","NORTH ADAMS, MA",,"G",4827,"G",38206,"G",150115,398
"01252","NORTH EGREMONT, MA",,"G",24,"G",75,"G",625,14
"01253","OTIS, MA",,"H",116,"G",698,"G",3279,25
"01254","RICHMOND, MA",,"G",112,"G",831,"G",4046,35
"01255","SANDISFIELD, MA",,"G",78,"G",634,"G",2882,20
"01256","SAVOY, MA",,"G",18,"G",165,"G",667,6
