"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"00501","HOLTSVILLE, NY","B","D",0,"D",0,"D",0,4,"HOLTSVILLE","NY","SUFFOLK"
"01001","AGAWAM, MA",,"G",9110,"G",88574,"G",364418,458,"AGAWAM","MA","HAMPDEN"
"01002","AMHERST, MA",,"H",17513,"G",99432,"G",421772,560,"AMHERST","MA","HAMPSHIRE"
"01003","AMHERST, MA",,"G",227,"H",1911,"H",8026,18,"AMHERST","MA","HAMPSHIRE"
"01004","AMHERST, MA","C","S",0,"S",0,"H",4921,13,"AMHERST","MA","HAMPSHIRE"
"01005","BARRE, MA",,"G",908,"G",7512,"G",30504,97,"BARRE","MA","WORCESTER"
"01007","BELCHERTOWN, MA",,"G",1849,"G",12872,"G",57652,226,"BELCHERTOWN","MA","HAMPSHIRE"
"01008","BLANDFORD, MA",,"G",271,"G",881,"G",2883,18,"BLANDFORD","MA","HAMPDEN"
"01009","BONDSVILLE, MA",,"H",146,"H",1381,"H",6967,17,"BONDSVILLE","MA","HAMPDEN"
"01010","BRIMFIELD, MA",,"H",306,"H",3244,"H",13945,74,"BRIMFIELD","MA","HAMPDEN"
"01011","CHESTER, MA",,"H",37,"G",267,"G",1406,15,"CHESTER","MA","HAMPDEN"
"01012","CHESTERFIELD, MA","B","S",0,"S",0,"H",1014,11,"CHESTERFIELD","MA","HAMPSHIRE"
"01013","CHICOPEE, MA",,"G",4125,"H",33971,"H",142769,316,"CHICOPEE","MA","HAMPDEN"
"01014","CHICOPEE, MA","A","D",0,"D",0,"D",0,1,"CHICOPEE","MA","HAMPDEN"
"01020","CHICOPEE, MA",,"G",8515,"G",75014,"G",323153,555,"CHICOPEE","MA","HAMPDEN"
"01021","CHICOPEE, MA",,"G",208,"G",1251,"G",5481,9,"CHICOPEE","MA","HAMPDEN"
"01022","CHICOPEE, MA",,"G",2643,"G",32914,"G",114434,62,"CHICOPEE","MA","HAMPDEN"
"01026","CUMMINGTON, MA",,"H",61,"H",335,"H",2124,18,"CUMMINGTON","MA","HAMPSHIRE"
"01027","EASTHAMPTON, MA",,"G",4083,"G",34123,"G",142906,386,"EASTHAMPTON","MA","HAMPSHIRE"
"01028","EAST LONGMEADOW, MA",,"G",7230,"G",73659,"G",290702,505,"EAST LONGMEADOW","MA","HAMPDEN"
"01029","EAST OTIS, MA","C","D",0,"D",0,"D",0,14,"EAST OTIS","MA","BERKSHIRE"
"01030","FEEDING HILLS, MA",,"H",1169,"G",7861,"G",36997,206,"FEEDING HILLS","MA","HAMPDEN"
"01031","GILBERTVILLE, MA",,"H",68,"G",246,"G",1118,19,"GILBERTVILLE","MA","WORCESTER"
"01032","GOSHEN, MA",,"G",98,"G",783,"G",3950,21,"GOSHEN","MA","HAMPSHIRE"
"01033","GRANBY, MA",,"G",717,"G",5226,"G",23596,132,"GRANBY","MA","HAMPSHIRE"
