"zip","name","empflag","emp","qp1","ap","est"
"00501","Holtsville, NY","B",0,0,0,2
"01000","Springfield, MA",,49,529,2127,4
"01001","Agawam, MA",,5920,32993,152512,439
"01002","Amherst, MA",,6153,31645,132699,467
"01003","Amherst, MA",,89,380,1698,10
"01004","Amherst, MA",,258,1103,5293,48
"01005","Barre, MA",,710,3482,15202,95
"01007","Belchertown, MA",,1143,4269,19103,172
"01008","Blandford, MA",,214,404,1672,19
"01009","Bondsville, MA",,241,1285,5867,16
"01010","Brimfield, MA",,301,1324,6300,53
"01011","Chester, MA",,63,301,1169,18
"01012","Chesterfield, MA",,49,243,1025,6
"01013","Chicopee, MA",,5836,31541,136602,367
"01014","Chicopee, MA",,72,437,1594,10
"01020","Chicopee, MA",,8973,49915,207564,559
"01021","Chicopee, MA",,276,1554,7236,28
"01022","Chicopee, MA",,1761,15415,57174,40
"01026","Cummington, MA",,180,433,1768,17
"01027","Easthampton, MA",,4299,25032,97055,305
"01028","East Longmeadow, MA",,8301,52665,220408,476
"01029","East Otis, MA",,52,243,1287,15
"01030","Feeding Hills, MA",,1106,4510,20221,195
"01031","Gilbertville, MA",,68,218,1245,17
"01032","Goshen, MA",,49,155,735,12
"01033","Granby, MA",,556,2817,12247,98
"01034","Granville, MA",,94,337,1554,23
"01035","Hadley, MA",,2902,10424,43204,239
"01036","Hampden, MA",,476,2009,9219,88
"01037","Hardwick, MA",,234,871,3688,11
"01038","Hatfield, MA",,930,5125,23555,55
"01039","Haydenville, MA",,134,660,2991,31
"01040","Holyoke, MA",,19141,110911,459396,989
"01041","Holyoke, MA",,864,5049,24934,78
"01050","Huntington, MA",,73,329,1384,29
"01053","Leeds, MA",,366,2077,8270,29
"01054","Leverett, MA",,56,155,856,18
"01056","Ludlow, MA",,3771,22529,102487,376
"01057","Monson, MA",,945,4863,20606,149
"01059","North Amherst, MA",,130,613,2717,17
"01060","Northampton, MA",,13477,70160,296996,922
"01061","Northampton, MA",,695,3818,16903,56
"01063","Northampton, MA","H",0,0,0,2
"01066","North Hatfield, MA",,888,5022,19565,9
"01068","Oakham, MA",,55,205,1003,19
"01069","Palmer, MA",,3933,25983,109385,264
"01070","Plainfield, MA",,19,94,384,7
"01071","Russell, MA",,138,1029,3853,16
"01072","Shutesbury, MA",,54,101,636,17
"01073","Southampton, MA",,706,2811,12087,105
"01074","South Barre, MA",,65,228,1202,7
"01075","South Hadley, MA",,5110,28605,112477,275
"01077","Southwick, MA",,1482,7572,32275,182
"01079","Thorndike, MA",,308,1979,8139,12
"01080","Three Rivers, MA",,286,1091,4883,42
"01081","Wales, MA",,46,349,1318,12
"01082","Ware, MA",,2072,11941,53086,198
"01083","Warren, MA",,521,4519,15246,44
"01084","West Chesterfield, MA",,18,72,364,4
"01085","Westfield, MA",,11128,66395,271608,775
"01086","Westfield, MA",,1264,7408,30498,72
"01088","West Hatfield, MA",,128,656,2804,16
"01089","West Springfield, MA",,14570,78119,331487,1005
"01090","West Springfield, MA",,702,3745,16313,70
